,beta,lnalpha,lnalpha.c,Smsy_lambert,Umsy_lambert,,132409.8585,535832.8105
524200,7.09598E-06,1.153562977,1.630175779,89007.75446,0.631597255,,,
524300,2.26436E-06,0.758151812,1.441173465,255315.7228,0.578125667,,,
524400,9.71465E-06,1.32156882,1.776987504,68925.22462,0.669584172,,,
524500,4.25103E-06,0.939880211,1.319725637,127264.8205,0.541006471,,,
524600,1.26609E-05,1.654819633,1.913679122,55464.72794,0.702233492,,,
524700,4.07303E-06,1.020773393,1.238424967,126426.9937,0.514940746,,,
524800,1.03902E-06,0.674403522,1.165764128,472384.0135,0.490816774,,,
524900,1.98929E-06,0.654451083,1.14726281,243579.2623,0.484549264,,,
525000,8.32261E-06,1.27828233,1.783611251,80650.88289,0.671226138,,,
525100,7.6743E-06,1.366546526,1.749745268,86361.81186,0.662766262,,,
525200,2.00194E-05,1.966715249,2.436978405,40188.41642,0.804546357,,,
525300,1.07842E-05,1.621692277,2.567980251,76501.03303,0.82500163,,,
525400,8.48935E-06,1.128766842,1.441118449,68098.19513,0.578109343,,,
525500,1.00498E-05,1.164884735,1.826251943,67827.39539,0.681649534,,,
525600,1.36336E-05,1.802309312,2.047405908,53669.9338,0.731711928,,,
525700,4.65459E-06,1.036475349,1.548522077,130867.3494,0.609133322,,,
525800,1.1307E-05,1.620385882,2.079425056,65306.21639,0.738417914,,,
525900,1.39422E-06,0.74824403,1.123084979,341612.2893,0.476282368,,,
526000,1.59743E-05,1.911754812,2.262449204,48466.88191,0.774226447,,,
526100,1.51096E-05,1.89669341,2.41921657,53054.12267,0.80162425,,,
526200,5.91718E-06,1.454635232,1.927597738,119214.6013,0.705413873,,,
526300,3.78465E-06,0.934240361,1.32467494,143358.3194,0.542561692,,,
526400,6.59497E-06,1.009035333,1.282117182,80223.38244,0.529070437,,,
526500,1.55338E-05,1.86489958,2.26764768,49902.87597,0.775182291,,,
526600,8.22292E-06,1.112961789,1.422500669,69629.7589,0.572559796,,,
526700,7.09255E-06,1.178200746,1.551540255,86003.02722,0.609980841,,,
